feature,mean_abs_shap
diurnal_range_1deg,1.1759187354253464
cos_doy,0.5090894841455481
days_since_rain,0.3711315363485478
neighbor_mean_lag1,0.3706977411162686
neighbor_max_lag1,0.3342176021799937
sin_doy,0.23184143573427593
rf_roll7_sum,0.22322142837216968
tmax_1deg_lag1,0.17840649807658454
tmax_1deg_roll7,0.1283496723709894
tmin_1deg_lag1,0.11257986608818586
rf_lag_1,0.027073658560705285
rf_lag_2,0.008190819744860241
