ablation_group,mae,bias,pr_auc_occ
All Features,3.504550327811194,-0.4339668283413619,0.7949229033821645
No Spatial,3.508575794779191,-0.49184428444753686,0.7920540805846377
No Temperature,3.6703824121690665,-0.5932990081643418,0.7569263723724878
No Temporal,3.5670463374765573,-0.2775730638990873,0.7900673402856946
