model,mae,bias,pr_auc_occ
Tweedie (p=1.5),3.504550327811194,-0.4339668283413619,0.7949229033821645
Hurdle (Raw Amount L2),3.5647639827353994,-0.1647246939838414,0.8005971375594993
Hurdle (log1p Amount L2),3.145169992072664,-1.6576618391950042,0.8005971375594993
