statistic,time,lat,lon,rf_lag_1,rf_lag_2,rf_roll7_sum,days_since_rain,sin_doy,cos_doy,neighbor_mean_lag1,neighbor_max_lag1,neighbor_valid_count,tmax_1deg_lag1,tmin_1deg_lag1,tmax_1deg_roll7,diurnal_range_1deg,target_h1,target_h2,target_h3,target_h4,target_h5,target_h6,target_h7
count,5440544,5440544.0,5440544.0,5440544.0,5435580.0,5440544.0,5440544.0,5440544.0,5440544.0,5435064.0,5435064.0,5440544.0,5331367.0,5331367.0,5334276.0,5331367.0,5435580.0,5430616.0,5425652.0,5420688.0,5415724.0,5410760.0,5405796.0
null_count,0,0.0,0.0,0.0,4964.0,0.0,0.0,0.0,0.0,5480.0,5480.0,0.0,109177.0,109177.0,106268.0,109177.0,4964.0,9928.0,14892.0,19856.0,24820.0,29784.0,34748.0
mean,2001-07-01 12:00:00,23.612459709911363,79.45996172441579,2.7401914596557617,2.741483211517334,19.17328643798828,24.2083683013916,7.35698528627312e-6,0.00022803258071164213,2.7430942058563232,5.922351837158203,7.6696212731668005,31.001358032226562,18.80276870727539,30.998126983642578,12.198588371276855,2.742682695388794,2.745187997817993,2.747692346572876,2.7502012252807617,2.7527172565460205,2.7551825046539307,2.757560968399048
std,,6.0386057409357745,6.032680490772945,10.090816497802734,10.094748497009277,45.38315963745117,51.79828643798828,0.707026293672426,0.7071873526923559,8.701369285583496,16.552213668823242,0.954460637543931,5.717971324920654,6.495741844177246,5.586023330688477,3.887554407119751,10.095081329345703,10.099353790283203,10.103630065917969,10.10791015625,10.112198829650879,10.116477966308594,10.120595932006836
min,2000-01-01 00:00:00,8.25,68.0,0.0,0.0,0.0,0.0,-0.9999994220246925,-0.9999791929590823,0.0,0.0,2.0,2.8299999237060547,-6.78000020980835,4.491666793823242,1.1800003051757812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,2000-10-01 00:00:00,19.75,75.25,0.0,0.0,0.0,0.0,-0.7036774074790128,-0.7074868024503348,0.0,0.0,8.0,28.260000228881836,14.529999732971191,28.38857078552246,9.05999755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,2001-07-02 00:00:00,24.0,78.25,0.0,0.0,0.29447442293167114,5.0,-0.004300592702981974,0.001075151282798226,0.0,0.0,8.0,31.329999923706055,20.559999465942383,31.29857063293457,12.230001449584961,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,2002-04-01 00:00:00,27.25,82.25,0.23524799942970276,0.2352849841117859,17.759552001953125,28.0,0.7067265555776158,0.7029130847082615,1.04616117477417,3.4388325214385986,8.0,34.45000076293945,23.81999969482422,34.355712890625,15.340001106262207,0.23793846368789673,0.24035120010375977,0.2429242730140686,0.2454787641763687,0.24794983863830566,0.25034940242767334,0.2527322471141815
max,2002-12-31 00:00:00,37.25,97.25,822.0632934570312,822.0632934570312,2514.300537109375,1096.0,0.9999855506507186,0.9999907524084426,521.8506469726562,822.0632934570312,8.0,46.31999969482422,32.83000183105469,45.10428237915039,24.23999786376953,822.0632934570312,822.0632934570312,822.0632934570312,822.0632934570312,822.0632934570312,822.0632934570312,822.0632934570312
